NroCheque,CodigoBanco,CodigoScurusal,NumeroCuentaOrigen,NumeroCuentaDestino,Valor,FechaOrigen,FechaPago,DNI,Estado,Tipo
SDNTGBIBMNJ,35,54,VRQE66080455513454,BLRG78315433216597,597.32,1651286226.709245,1658371026.709253,880-94-6361,rechazado,depositado
HVVUGB936XL,35,54,VRQE66080455513454,JJEZ09089165706462,757.59,1650595026.709363,1657593426.709372,880-94-6361,pendiente,depositado
YHSYGB0YUM6,35,54,VRQE66080455513454,GOBD28479574139986,385.02,1653100626.709483,1657507026.709491,880-94-6361,aprobado,emitido
NTDGGBXQ8YA,35,54,VRQE66080455513454,MXKI62676434302056,170.0,1653705426.709598,1657507026.709606,880-94-6361,aprobado,depositado
GBPKGBTWJ1R,35,54,REUG86301131064992,EYET35798757524358,255.14,1652236626.709715,1657247826.709723,880-94-6361,rechazado,emitido
NRFFGB0D3OT,35,54,REUG86301131064992,YAUP32961809114585,246.64,1650940626.709879,1658025426.709887,880-94-6361,pendiente,emitido
YTVJGBINHZM,35,54,REUG86301131064992,RCND92874359196017,955.28,1651804626.709995,1658543826.710003,880-94-6361,rechazado,depositado
CYNUGBROT86,35,54,WWTP26149402585497,GTOS37114375319572,394.63,1651372626.710111,1658716626.710119,880-94-6361,rechazado,emitido
MFAPGB61F2K,35,54,WWTP26149402585497,KRVS37253136727400,701.4,1652927826.710278,1658371026.710286,880-94-6361,aprobado,emitido
YTKVGBOM2S4,70,131,TMGK67617288810840,PXDL12030218796725,156.13,1653273426.711114,1657420626.71112,211-19-3986,pendiente,depositado
QYNHGBTPYFK,70,131,TMGK67617288810840,QSGU99377830080360,648.22,1650681426.712219,1658543826.712229,211-19-3986,pendiente,emitido
YCMKGBFABIY,70,131,TMGK67617288810840,ZWXE02453075799385,437.61,1652927826.712367,1657679826.712375,211-19-3986,rechazado,emitido
JNZGGB62GF8,70,131,TMGK67617288810840,KILE91070513229918,832.14,1650854226.712479,1657593426.712487,211-19-3986,rechazado,emitido
FDLHGBTWMCY,70,131,TMGK67617288810840,DZLJ29440567522882,416.16,1653100626.712589,1657766226.712598,211-19-3986,rechazado,depositado
FYJOGBK0QFS,70,131,TMGK67617288810840,NWGH18992784129024,705.07,1651804626.712704,1657852626.712712,211-19-3986,aprobado,emitido
EEFZGBYC0TG,70,131,TMGK67617288810840,PHFZ99580386870901,136.1,1653619026.712826,1658889426.712834,211-19-3986,pendiente,depositado
MKRQGBBSLC6,70,131,TMGK67617288810840,HBAL30708342543700,556.97,1652927826.712945,1658284626.712953,211-19-3986,pendiente,emitido
ARYLGBS54BF,70,131,TMGK67617288810840,SSIO56654010577231,4.84,1650681426.713062,1658198226.71307,211-19-3986,rechazado,depositado
QJZRGBDR52K,70,131,CEIN01874899431229,WXAF19198487602393,601.18,1652927826.713179,1658975826.713198,211-19-3986,aprobado,depositado
WHAPGBDV2JH,70,131,ZPNT96439806625131,GLYN22117051716813,998.8,1650681426.713348,1657507026.713356,211-19-3986,rechazado,emitido
DFUNGBID00P,70,131,ZPNT96439806625131,DLRQ46442065159563,710.94,1651718226.713509,1657593426.713517,211-19-3986,aprobado,emitido
UFLFGBFDIJS,70,131,ZPNT96439806625131,CFLF89051688062817,275.22,1653014226.713625,1658371026.713633,211-19-3986,pendiente,emitido
HRYFGBQMAA1,70,131,ZPNT96439806625131,GVLJ07600690348474,210.49,1652063826.713742,1658889426.71375,211-19-3986,pendiente,emitido
DSRKGBNND9B,70,131,ZPNT96439806625131,DGUN17527415783814,511.73,1651113426.713862,1657334226.71387,211-19-3986,aprobado,depositado
JUWDGBUWFMU,70,131,ZPNT96439806625131,WGCP00431647184250,92.28,1653359826.714051,1658543826.714074,211-19-3986,rechazado,depositado
ZSQHGBQRU3A,70,131,ZPNT96439806625131,DAPG95630337758925,780.85,1651113426.714201,1658716626.714209,211-19-3986,pendiente,depositado
SRJLGBW9PD0,70,131,ZPNT96439806625131,HPBV95990050788688,110.41,1652409426.714316,1657334226.714325,211-19-3986,aprobado,emitido
WXVSGBDIS4A,70,131,ZPNT96439806625131,JYWA18196084003050,262.04,1652755026.714435,1658025426.714443,211-19-3986,pendiente,depositado
ZJRCGBHP5DD,70,131,ZPNT96439806625131,UUIP96490746877668,298.56,1650681426.714552,1658889426.714559,211-19-3986,rechazado,emitido
PLLTGBLWODH,13,123,POLB83137217800131,MAEL43015334969583,248.71,1651804626.715421,1658025426.715428,557-28-5109,pendiente,emitido
SALEGBX89SY,13,123,POLB83137217800131,HDTS98249975573556,261.58,1651891026.715523,1657420626.715531,557-28-5109,aprobado,emitido
WUOOGB5B6H0,13,123,POLB83137217800131,YTZA26757418152890,165.5,1652063826.715623,1658457426.715632,557-28-5109,aprobado,depositado
AZXSGB8XTV0,13,123,POLB83137217800131,YLNL23098729638942,54.49,1651545426.715727,1658630226.715735,557-28-5109,pendiente,depositado
BBWJGBJR5VN,13,123,POLB83137217800131,BVTR77096286100132,795.05,1653014226.715837,1658630226.715845,557-28-5109,aprobado,depositado
THSSGBCA969,13,123,POLB83137217800131,SQWK47245534510688,520.31,1651027026.715951,1657334226.715959,557-28-5109,aprobado,depositado
LREUGB92099,13,123,POLB83137217800131,POSG91714793968569,847.74,1653619026.716068,1658803026.716076,557-28-5109,pendiente,emitido
QVZGGBJZ1AO,13,123,POLB83137217800131,VRIB15282013388877,471.74,1653187026.716184,1657247826.716202,557-28-5109,pendiente,depositado
NAYQGBOPV5H,13,123,POLB83137217800131,QDLD53711172741729,682.73,1651372626.716316,1657420626.716324,557-28-5109,aprobado,emitido
RTQFGB8Q45U,13,123,POLB83137217800131,QIQE93100447378935,518.11,1650681426.716435,1657679826.716443,557-28-5109,pendiente,depositado
JNVVGBWI3UV,13,123,POLB83137217800131,XMGN89219364342245,61.81,1652668626.716554,1658111826.716562,557-28-5109,rechazado,depositado
DPXEGBJSTZK,13,123,POLB83137217800131,DELV86135622649205,204.81,1651199826.71667,1658803026.716678,557-28-5109,aprobado,depositado
XZGGGB0VJCA,13,123,POLB83137217800131,XVAI75929310307956,204.11,1651199826.716796,1658716626.716804,557-28-5109,pendiente,emitido
RTXAGBAY81P,13,123,POLB83137217800131,PCCD31363373032062,780.64,1650508626.716915,1658630226.716924,557-28-5109,pendiente,emitido
OQCYGBB0K2X,13,123,POLB83137217800131,BRLN15606655565565,771.96,1652495826.717033,1658025426.717041,557-28-5109,rechazado,emitido
YQQJGB3Q1AF,13,123,POLB83137217800131,DVQR81986131414437,559.91,1653359826.717149,1658457426.717157,557-28-5109,aprobado,depositado
KPENGB5HHNH,13,123,POLB83137217800131,SEIA97481141343594,141.18,1650508626.717271,1658975826.717279,557-28-5109,aprobado,depositado
AQDEGBGCPHH,13,123,POLB83137217800131,VYGS18877526166103,75.2,1651545426.71739,1658630226.717398,557-28-5109,rechazado,emitido
CECGGB8T5LR,13,123,POLB83137217800131,OKRJ67009035532770,684.55,1650681426.717508,1658889426.717516,557-28-5109,rechazado,depositado
FGAWGBVM3WE,13,123,POLB83137217800131,YRZI00482168656334,959.89,1650422226.717627,1657593426.717635,557-28-5109,aprobado,depositado
NYFUGBILKQR,16,60,YZTA11168371673096,FQSL53409157024167,456.3,1651199826.718485,1658630226.718492,085-83-4590,pendiente,emitido
XKYMGBTLGV3,16,60,YZTA11168371673096,ESIM28024260379109,559.73,1651718226.718596,1658889426.718604,085-83-4590,pendiente,depositado
GEOPGB8PSED,16,60,YZTA11168371673096,GSFZ98852307897859,872.03,1652236626.718699,1657334226.718708,085-83-4590,pendiente,emitido
KWKTGBOBL4U,16,60,YZTA11168371673096,LZZV71677976926606,484.43,1650508626.719757,1658543826.71977,085-83-4590,rechazado,emitido
VROHGBWFSGS,16,60,YZTA11168371673096,IBYZ43094459533249,423.85,1651977426.719916,1658716626.719926,085-83-4590,aprobado,depositado
DEQTGBA5K52,16,60,YZTA11168371673096,SNCC62740850700550,872.18,1650508626.720065,1658111826.720074,085-83-4590,rechazado,emitido
HFUTGBPLZBI,16,60,YZTA11168371673096,IEYZ41445672532984,318.07,1650508626.720208,1658803026.720217,085-83-4590,rechazado,emitido
VWYHGB3YX5E,16,60,YZTA11168371673096,VYBY34640537171859,795.34,1652668626.720332,1658457426.72034,085-83-4590,rechazado,depositado
QSQKGBGN3HB,16,60,YZTA11168371673096,GECK04901033121909,387.63,1650681426.720452,1657852626.72046,085-83-4590,rechazado,emitido
XOAEGB5NEI1,16,60,YZTA11168371673096,SPAR16771637087547,106.03,1652063826.720571,1657420626.72058,085-83-4590,rechazado,emitido
ZYTSGB6BL0W,16,60,YZTA11168371673096,QBSL97739314405157,995.94,1651977426.72069,1657939026.720698,085-83-4590,aprobado,depositado
LTVTGBVDPRJ,16,60,YZTA11168371673096,QFFU38062458338813,227.21,1651459026.720816,1658543826.720824,085-83-4590,pendiente,depositado
JFJJGB26BBV,16,60,YZTA11168371673096,SGXT22228368684307,915.07,1653273426.720937,1658975826.720945,085-83-4590,aprobado,emitido
NVSBGBMVOU6,16,60,YZTA11168371673096,ELVD61891995383100,711.11,1653100626.721056,1657247826.721064,085-83-4590,rechazado,emitido
RICSGBFJU7K,16,60,YZTA11168371673096,VWZJ65100104589541,243.02,1653359826.721173,1657507026.721182,085-83-4590,pendiente,depositado
LSEAGBRVUIF,16,60,YZTA11168371673096,CZHJ49806821401392,517.92,1651372626.721299,1658284626.721307,085-83-4590,rechazado,emitido
ZKDJGBCF75B,16,60,YZTA11168371673096,BOCK15506148646188,698.35,1653187026.722298,1658457426.722312,085-83-4590,aprobado,depositado
LSSDGBRZXKG,16,60,YZTA11168371673096,LLKL68326777785902,129.51,1652841426.722437,1657852626.722443,085-83-4590,pendiente,depositado
UEWJGBRBXV5,16,60,YZTA11168371673096,EEQB87596334542784,849.25,1653791826.72252,1658975826.722524,085-83-4590,rechazado,depositado
RVKQGBLO3MX,16,60,KFDI10249820020107,LBAY44602964194172,443.86,1653705426.722595,1658543826.7226,085-83-4590,pendiente,emitido
IZPVGB3HZLU,10,280,MNZA91818440274701,ECSG10010307174142,492.72,1651545426.723458,1657507026.723465,821-31-7886,rechazado,emitido
SWZMGBMWXC4,10,280,MNZA91818440274701,ELWM00538787431214,20.87,1651804626.723545,1658025426.72355,821-31-7886,aprobado,depositado
GQIBGBGDQFS,10,280,MNZA91818440274701,JQNO97346895881376,227.51,1650767826.723621,1657852626.723625,821-31-7886,pendiente,depositado
QNYMGBG97AB,10,280,MNZA91818440274701,NQTJ48430435574393,941.8,1652668626.723695,1658111826.723699,821-31-7886,rechazado,depositado
UXTUGB5BZ8K,10,280,MNZA91818440274701,VFNR40180356316292,669.75,1653187026.723769,1658371026.723773,821-31-7886,aprobado,emitido
TGYBGBF4OZX,10,280,MNZA91818440274701,QZGI86763108595076,736.96,1650335826.723841,1658284626.723845,821-31-7886,aprobado,depositado
IJWQGBC3LXF,10,280,MNZA91818440274701,TJTH79923995821588,581.57,1651286226.723915,1658630226.723919,821-31-7886,rechazado,depositado
XGTQGBKXH55,10,280,MNZA91818440274701,KMNS75011743879878,810.89,1652841426.723988,1658025426.723992,821-31-7886,aprobado,emitido
DQUCGBWQHKK,10,280,MNZA91818440274701,UJQX36199370315549,34.15,1653619026.72406,1658803026.724064,821-31-7886,rechazado,depositado
JHQTGBCZ8HX,10,280,MNZA91818440274701,UMKG72138373328613,999.78,1651545426.724133,1658543826.724137,821-31-7886,pendiente,emitido
UEFLGB7W0XA,10,280,MNZA91818440274701,FOCH54802021903576,634.78,1651199826.724234,1657766226.724242,821-31-7886,rechazado,depositado
WUFZGB3MCTL,10,280,MNZA91818440274701,VPIF47779348898293,482.46,1652927826.724343,1657852626.724351,821-31-7886,aprobado,emitido
FZEAGBON9EF,10,280,MNZA91818440274701,FIDN59769981649260,329.58,1653014226.724445,1658716626.724453,821-31-7886,pendiente,emitido
WOPQGBGFY1L,10,280,MNZA91818440274701,WAIQ52497955886961,145.23,1652150226.72455,1658284626.724559,821-31-7886,aprobado,depositado
UEGSGBY9NA3,10,280,MNZA91818440274701,YFWE31884317704207,210.69,1652927826.724663,1657247826.724671,821-31-7886,aprobado,depositado
OMLVGBYFM8D,10,280,MNZA91818440274701,RDEM49375964800051,974.28,1651545426.724779,1658716626.724787,821-31-7886,rechazado,emitido
KCDKGBWQLEX,10,280,MNZA91818440274701,FXVV40406601684334,300.89,1652495826.724896,1657420626.724904,821-31-7886,pendiente,emitido
BTVSGB1P1LW,10,280,MNZA91818440274701,DCLM80534607952106,333.45,1650422226.725023,1658371026.725031,821-31-7886,aprobado,emitido
IYRWGBL6KPB,10,280,MNZA91818440274701,QVEU40549972149828,464.74,1651027026.725138,1658371026.725147,821-31-7886,pendiente,depositado
HHYZGB9M2IW,10,280,MNZA91818440274701,PJAD83696906515838,540.14,1650335826.725262,1657939026.72527,821-31-7886,pendiente,emitido
EMPGGBB3Q4P,60,39,TBAE69372954400139,QDNB51545708495855,621.5,1653359826.726108,1657939026.726114,541-92-5771,pendiente,depositado
JYJFGBDKKKV,60,39,TBAE69372954400139,CTEE45265176285837,264.76,1652927826.726217,1657507026.726226,541-92-5771,pendiente,depositado
TWHJGBC2JVD,60,39,TBAE69372954400139,MGVF59879412353038,439.67,1652582226.726323,1657852626.726331,541-92-5771,aprobado,emitido
XRQXGBJ19M3,60,39,TBAE69372954400139,DWXS81057909227195,547.37,1650595026.726428,1658198226.726436,541-92-5771,aprobado,emitido
WTNGGBXUSZ9,60,39,TBAE69372954400139,RCIZ38002137221289,323.55,1650767826.726531,1658371026.726538,541-92-5771,pendiente,depositado
THYNGBUDILG,60,39,TBAE69372954400139,DAYS49439391251916,849.35,1650422226.726641,1658457426.726649,541-92-5771,rechazado,depositado
MPHZGBA0E5T,60,39,TBAE69372954400139,CFYY28981322485993,333.74,1651891026.726755,1658716626.726763,541-92-5771,pendiente,depositado
FWUCGB3W0WV,60,39,TBAE69372954400139,XWAK64477761128130,689.01,1652063826.72687,1658630226.726878,541-92-5771,rechazado,depositado
DUAQGB7622C,60,39,TBAE69372954400139,QWTD16515796738067,934.12,1652063826.726989,1657247826.726997,541-92-5771,pendiente,depositado
CAEZGBEYRSJ,60,39,TBAE69372954400139,GJPU87506304829665,755.46,1651891026.727105,1658025426.727113,541-92-5771,pendiente,depositado
IPPOGBYWVW6,60,39,TBAE69372954400139,JDJI36557737264175,409.25,1652150226.727239,1658543826.727247,541-92-5771,aprobado,emitido
FMCVGB64U4E,60,39,EWRY14294253774145,AASA75060001145058,106.96,1651199826.727359,1658716626.727367,541-92-5771,rechazado,emitido
UCHUGBEWRKM,60,39,EWRY14294253774145,BXWK36258880415781,753.29,1653705426.727517,1658975826.727525,541-92-5771,pendiente,emitido
UWVVGB0EY8A,60,39,EWRY14294253774145,WTOH53664159757893,823.65,1651977426.727633,1658457426.727641,541-92-5771,aprobado,emitido
GKFWGBDFZ7C,60,39,EWRY14294253774145,TANI75643704532526,575.63,1652150226.727749,1657507026.727757,541-92-5771,aprobado,depositado
LCSTGBKFS92,60,39,EWRY14294253774145,KGCO76704883004242,751.63,1652755026.727866,1657593426.727874,541-92-5771,pendiente,depositado
AQTDGBKANTG,60,39,EWRY14294253774145,WVQE87853980270803,455.19,1651459026.727983,1658889426.727991,541-92-5771,pendiente,emitido
VKFLGBPCZYG,60,39,EWRY14294253774145,ZWBS68156152290696,780.84,1651891026.728097,1657852626.728105,541-92-5771,aprobado,depositado
DMSQGB7GD77,60,39,EWRY14294253774145,UQUG02873409554899,750.36,1652150226.72822,1658284626.728229,541-92-5771,rechazado,emitido
OWYCGBWO1R6,60,39,EWRY14294253774145,HKPF18048937788208,794.06,1651804626.728342,1657766226.72835,541-92-5771,aprobado,emitido
FZDNGB21EHT,98,232,TFVA64357205530868,RAAS83308674017902,475.98,1653791826.729194,1658889426.729201,791-95-4997,pendiente,emitido
EYCXGBMSKCQ,98,232,TFVA64357205530868,DQQX74065564673739,385.51,1653100626.729314,1658457426.729322,791-95-4997,aprobado,emitido
EOGWGBPE17A,98,232,TFVA64357205530868,JRXV66211008398419,670.33,1650595026.729416,1657593426.729424,791-95-4997,pendiente,depositado
XZZKGBA8RUM,98,232,TFVA64357205530868,HWSF61431168027495,193.13,1653619026.729518,1658716626.729526,791-95-4997,rechazado,emitido
WPJWGBZY2FD,98,232,TFVA64357205530868,KMTW95298520597412,723.91,1651113426.729621,1658889426.72963,791-95-4997,aprobado,emitido
XTIWGBA2P3P,98,232,TFVA64357205530868,MHKW82028504866984,431.49,1651545426.729734,1657334226.729742,791-95-4997,pendiente,depositado
VLJPGBOFDCV,98,232,TFVA64357205530868,ZXPF75733921805348,326.44,1653619026.729854,1658543826.729862,791-95-4997,aprobado,emitido
GBGYGB05DFA,98,232,TFVA64357205530868,TFIB62265716324967,306.07,1651027026.729969,1658198226.729977,791-95-4997,pendiente,emitido
JEELGBFGVWE,98,232,TFVA64357205530868,SROZ25675098875854,610.31,1650767826.73009,1658975826.730098,791-95-4997,pendiente,emitido
CRUGGBP1JCS,98,232,TFVA64357205530868,CCET51452620743693,421.12,1650335826.730283,1658889426.730299,791-95-4997,pendiente,emitido
AOCNGB6B0LO,98,232,TFVA64357205530868,QFRJ27315383760013,530.41,1652236626.730414,1657766226.730423,791-95-4997,pendiente,emitido
KBLDGB8GNV5,98,232,TFVA64357205530868,WBFO88860123245219,659.1,1652495826.730534,1658025426.730542,791-95-4997,aprobado,depositado
KAEGGBT89X6,98,232,TFVA64357205530868,FDVA34346244443098,765.29,1650508626.730653,1657679826.730661,791-95-4997,pendiente,emitido
VIDLGBA39QE,98,232,TFVA64357205530868,WPDA95817098953427,294.35,1653273426.730768,1657593426.730776,791-95-4997,rechazado,emitido
YJWDGBX3AE1,98,232,TFVA64357205530868,EAZG33625801399058,160.07,1651631826.730885,1658284626.730893,791-95-4997,pendiente,emitido
XFAWGBV349Q,98,232,TFVA64357205530868,MJWY09671191090734,877.54,1651286226.731001,1658371026.731009,791-95-4997,pendiente,emitido
FSSUGBCIXEW,98,232,TFVA64357205530868,PHCZ21676719644033,651.84,1650854226.731116,1658803026.731124,791-95-4997,aprobado,emitido
GYQJGBLGUKJ,98,232,TFVA64357205530868,JZSZ99574716414083,271.47,1652582226.731252,1657507026.731261,791-95-4997,rechazado,depositado
PTSUGBJQ3S3,98,232,LTAM73544015076011,KVYQ00654307505901,813.99,1651459026.731372,1657679826.73138,791-95-4997,aprobado,emitido
NWFNGBZMFF8,98,232,LTAM73544015076011,NDUQ29927738179546,868.38,1651372626.731533,1658284626.731541,791-95-4997,rechazado,depositado
KRPKGB59CX7,61,56,RYHK68306457184847,RKRV44535077583258,860.85,1651545426.732389,1658198226.732396,547-75-7915,aprobado,depositado
LODRGBJZ6GO,61,56,RYHK68306457184847,PQSX75300376611254,179.44,1653359826.732487,1658630226.732494,547-75-7915,rechazado,depositado
QMQIGB3UGN5,61,56,RYHK68306457184847,DFCS06683105801031,231.35,1650854226.732588,1657679826.732597,547-75-7915,rechazado,depositado
DQIGGBSKHDC,61,56,RYHK68306457184847,TDTZ76337850824000,926.96,1652150226.732699,1658803026.732707,547-75-7915,rechazado,depositado
KCQSGBPHVYP,61,56,RYHK68306457184847,OYXS57840994753770,874.77,1652323026.732804,1658716626.732813,547-75-7915,aprobado,emitido
SMBAGBAWAY8,61,56,RYHK68306457184847,WCVX82011998382509,470.6,1650335826.732921,1657334226.732929,547-75-7915,pendiente,depositado
ZBNFGBPBNHH,61,56,RYHK68306457184847,DYWH15628567450000,914.99,1650422226.73304,1658803026.733048,547-75-7915,pendiente,depositado
BKKSGBTFYLB,61,56,RYHK68306457184847,CWRH12228766234118,248.89,1652063826.733156,1658975826.733164,547-75-7915,rechazado,emitido
UWHNGBVUSNN,61,56,RYHK68306457184847,DWFD86845088738887,185.63,1650595026.733278,1657334226.733287,547-75-7915,pendiente,depositado
MDZZGB9T4E4,61,56,RYHK68306457184847,KWEH09067275392117,406.83,1650422226.733414,1657679826.733422,547-75-7915,rechazado,depositado
KHSLGBOBPFB,61,56,RYHK68306457184847,KYLM33560960919266,558.01,1651027026.73353,1658803026.733538,547-75-7915,pendiente,emitido
FKTRGBJ6L5K,61,56,RYHK68306457184847,FOGF91269411778106,967.13,1650335826.733653,1657420626.733661,547-75-7915,aprobado,emitido
LYQHGBWJFXV,61,56,RYHK68306457184847,EFZH67932996452793,458.18,1650508626.733769,1658371026.733777,547-75-7915,rechazado,emitido
ZEQIGBNVYMF,61,56,RYHK68306457184847,QYFW83182067432461,224.66,1650595026.73388,1657939026.733888,547-75-7915,rechazado,emitido
NXLAGBL0LDN,61,56,RYHK68306457184847,RUIM71101958506983,45.62,1650681426.735313,1658803026.73533,547-75-7915,rechazado,emitido
UBHOGBLD7WX,61,56,RYHK68306457184847,QGAA93069693302153,936.91,1652582226.735498,1657852626.735507,547-75-7915,aprobado,depositado
BRSEGB6RA4U,61,56,RYHK68306457184847,MJQW10010688809494,916.96,1652668626.735629,1658889426.735638,547-75-7915,pendiente,emitido
HZULGBB64AW,61,56,RYHK68306457184847,THEQ53023354499186,994.93,1650335826.735754,1658716626.735762,547-75-7915,aprobado,emitido
YJGFGBBLTQK,61,56,RYHK68306457184847,AUUD59369234424435,208.22,1652409426.735897,1657939026.735905,547-75-7915,aprobado,emitido
FNTOGBFZLV2,61,56,RYHK68306457184847,XVTQ49170372258720,809.48,1652150226.736022,1657852626.736031,547-75-7915,aprobado,emitido
RFXIGBLU7W5,13,74,WIWF44834837411330,DWKB64474309328096,70.92,1652582226.736926,1658111826.736933,423-63-4756,aprobado,emitido
DUGVGBTTM26,13,74,WIWF44834837411330,FPQK66080460320549,833.9,1653187026.737053,1657334226.737062,423-63-4756,aprobado,depositado
BBLIGBYZMHB,13,74,WIWF44834837411330,QIZH32645088209722,463.26,1651113426.737164,1657507026.737172,423-63-4756,rechazado,depositado
XTWFGBG6E58,13,74,WIWF44834837411330,EMQN99622561321026,301.68,1651977426.737284,1657852626.737292,423-63-4756,rechazado,emitido
PCXWGBFRIT8,13,74,WIWF44834837411330,NRKX67731057266375,605.2,1652841426.737395,1657507026.737404,423-63-4756,pendiente,emitido
DBIXGBEKP4P,13,74,WIWF44834837411330,MTWG98066965816800,715.97,1651113426.737513,1658803026.737521,423-63-4756,aprobado,emitido
ZEXTGBWBV2O,13,74,WIWF44834837411330,MECC60838235776754,823.42,1651027026.737635,1657420626.737644,423-63-4756,pendiente,depositado
PZHXGB65K6N,13,74,WIWF44834837411330,TXKB31266720124850,844.96,1650422226.737754,1658111826.737762,423-63-4756,rechazado,emitido
AAAVGB9PDP3,13,74,WIWF44834837411330,WWYY23404554217913,552.77,1653273426.737879,1657852626.737888,423-63-4756,pendiente,emitido
YJXOGBMNXTY,13,74,WIWF44834837411330,FIDP56890421154764,747.06,1653791826.737999,1657679826.738008,423-63-4756,pendiente,emitido
XOAYGBA6OZA,13,74,WIWF44834837411330,MZHM93031159338352,649.67,1652582226.738116,1657507026.738124,423-63-4756,rechazado,depositado
STSFGB8DKTI,13,74,WIWF44834837411330,ICUU83066006216356,377.95,1651977426.738245,1657420626.738253,423-63-4756,rechazado,emitido
XSCNGB917YK,13,74,WIWF44834837411330,PJYX89873643040308,916.73,1652668626.738369,1658284626.738378,423-63-4756,aprobado,depositado
CPHXGBJDX4F,13,74,WIWF44834837411330,AXLY00197242368814,672.22,1652495826.738514,1658889426.738523,423-63-4756,rechazado,emitido
XMBMGBC39E1,13,74,WIWF44834837411330,YIXZ94930998166872,762.76,1652495826.738634,1658457426.738643,423-63-4756,aprobado,depositado
VBAIGBHY1Z0,13,74,WIWF44834837411330,SBAB62697480620827,475.36,1650854226.738753,1658457426.738761,423-63-4756,aprobado,depositado
BDWVGBK1FE3,13,74,WIWF44834837411330,YJQI51787744540557,350.24,1653705426.738887,1658025426.738896,423-63-4756,aprobado,emitido
BZMSGBXDZQM,13,74,WIWF44834837411330,JQIV37214891270364,75.44,1650595026.73901,1658457426.739018,423-63-4756,pendiente,emitido
EHIZGB6CAAD,13,74,WIWF44834837411330,ITKM11577474838823,138.19,1653359826.739129,1657334226.739137,423-63-4756,pendiente,depositado
KAANGBY21ZU,13,74,WIWF44834837411330,KBGU01807477962334,424.41,1651459026.739259,1658198226.739267,423-63-4756,rechazado,emitido
EJJXGBZFJZ2,85,196,UYKF57748112110611,DQYJ39555533449859,743.75,1650940626.740117,1658371026.740125,282-16-7427,aprobado,emitido
COFQGB5FDWU,85,196,UYKF57748112110611,UXVU08782558456105,967.92,1651372626.740236,1658803026.740244,282-16-7427,aprobado,depositado
YPQLGB88Q6I,85,196,UYKF57748112110611,RXRF67114489488503,375.18,1652150226.740345,1658025426.740353,282-16-7427,pendiente,emitido
KRPUGBO6QKO,85,196,GFHB51475832522933,CHEN20783928623878,361.31,1651891026.740457,1657679826.740465,282-16-7427,aprobado,emitido
XXIOGB448FU,85,196,GFHB51475832522933,GROX53228314575410,698.02,1652841426.740611,1658025426.740619,282-16-7427,pendiente,depositado
RGWYGBAM9HB,85,196,GFHB51475832522933,DHCC49975531652937,31.37,1652150226.740727,1658803026.740735,282-16-7427,pendiente,depositado
RVWIGB94EDJ,85,196,GFHB51475832522933,ZGUA28390938424287,284.13,1650681426.740856,1657679826.740865,282-16-7427,rechazado,depositado
PUSFGB0VHVR,85,196,GFHB51475832522933,GRVW93505884263541,114.25,1652582226.740974,1658975826.740982,282-16-7427,pendiente,depositado
LWXAGBT4ZQ1,85,196,GFHB51475832522933,CJTS19500707048425,935.31,1653100626.741094,1657852626.741102,282-16-7427,rechazado,depositado
ZWTCGBQXDSF,85,196,GFHB51475832522933,GZBN61348431982827,535.49,1651113426.741224,1657334226.741233,282-16-7427,pendiente,emitido
GRAHGBOOWT0,85,196,GFHB51475832522933,UHSB61003525893632,494.97,1653187026.741344,1657247826.741352,282-16-7427,rechazado,emitido
BMBKGB90IDI,85,196,GFHB51475832522933,XGJP90703966118400,239.33,1653705426.741459,1657247826.741467,282-16-7427,aprobado,depositado
KLADGB66G6G,85,196,GFHB51475832522933,NFBQ97575276012852,249.19,1653187026.742559,1657679826.742575,282-16-7427,pendiente,emitido
GEDSGBPJ7Y0,85,196,GFHB51475832522933,TGPC50769773693205,417.73,1653532626.742732,1658975826.742741,282-16-7427,pendiente,emitido
HETKGBSR59G,85,196,DFIB12073984674836,CXKB67808851237599,968.17,1651545426.742865,1658716626.742873,282-16-7427,pendiente,emitido
DLLFGBK1KNV,85,196,DFIB12073984674836,TNDA22863892871774,666.13,1652409426.743037,1657939026.743045,282-16-7427,pendiente,depositado
OCSKGBUZTIQ,85,196,DFIB12073984674836,HAPX41222177440996,127.64,1651891026.743154,1658198226.743162,282-16-7427,pendiente,emitido
MACRGBB75H2,85,196,DFIB12073984674836,GBDR26339111517864,940.53,1650508626.743285,1658025426.743294,282-16-7427,aprobado,emitido
AYXTGB4XEIQ,85,196,DFIB12073984674836,FCYO64800338505731,528.27,1652236626.743404,1658803026.743412,282-16-7427,aprobado,emitido
MEQYGBS0ELK,85,196,DFIB12073984674836,FYGP34111028363911,831.1,1651545426.74352,1658975826.743529,282-16-7427,pendiente,depositado
MWEDGBOW8WY,52,238,OXKV66428509115378,OCCX99351824175003,909.65,1652668626.744371,1658025426.744378,090-69-4934,rechazado,depositado
WRMAGBELYDL,52,238,OXKV66428509115378,PYEQ31772137949599,355.09,1652668626.744475,1657766226.744483,090-69-4934,rechazado,depositado
OPDYGBUJHXM,52,238,OXKV66428509115378,OCUS61311980569207,512.04,1651199826.744575,1658975826.744583,090-69-4934,aprobado,emitido
VVUJGBTHOFT,52,238,OXKV66428509115378,AVOT56516447959785,300.26,1652150226.744676,1658543826.744685,090-69-4934,rechazado,emitido
